Item,Precio,URL
Limpiador Líquido Multiusos FABULOSO Alternativa al Cloro 2 L,$ 211,"https://www.tiendainglesa.com.uy/supermercado/limpiador-liquido-multiusos-fabuloso-alternativa-al-cloro-2-l.producto?1001632,,42"
Bolsa de Residuos TIENDA INGLESA 70 x 105 cm 10 Unidades,$ 150,"https://www.tiendainglesa.com.uy/supermercado/bolsa-de-residuos-tienda-inglesa-70-x-105-cm-10-unidades.producto?1095920,,42"
Suavizante COMFORT Concentrado Cuidado Essencial 1 L,$ 351,"https://www.tiendainglesa.com.uy/supermercado/suavizante-comfort-concentrado-cuidado-essencial-1-l.producto?1006560,,42"
Limpiador de Pisos Plastificados y Flotantes BLEM Original Botella 800...,$ 259,"https://www.tiendainglesa.com.uy/supermercado/limpiador-de-pisos-plastificados-y-flotantes-blem-original-botella-800ml.producto?882,,42"
Jabón Liquido QUERUBIN Premium Sachet 3 L,$ 420,"https://www.tiendainglesa.com.uy/supermercado/jabon-liquido-querubin-premium-sachet-3-l.producto?97558,,42"
Papel Higiénico Húmedo FRESH UP x 80 Unidades,$ 244,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-humedo-fresh-up-x-80-unidades.producto?272451,,42"
Paño de Piso KLINER Standard 50x55 cm,$ 64,"https://www.tiendainglesa.com.uy/supermercado/pano-de-piso-kliner-standard-50x55-cm.producto?355823,,42"
Papel Higiénico ELITE Hoja Simple 4 Rollos x 30 mts,$ 109,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-elite-hoja-simple-4-rollos-x-30-mts.producto?338497,,42"
Jabón Líquido Sachet Eco Lavado NEVEX 3 L,$ 399,"https://www.tiendainglesa.com.uy/supermercado/jabon-liquido-sachet-eco-lavado-nevex-3-l.producto?96118,,42"
Bolsas de Residuos HERRADURA 80 x 105 cm,$ 171,"https://www.tiendainglesa.com.uy/supermercado/bolsas-de-residuos-herradura-80-x-105-cm.producto?3547,,42"
Lavandina TIENDA INGLESA 1 L,$ 78,"https://www.tiendainglesa.com.uy/supermercado/lavandina-tienda-inglesa-1-l.producto?2780,,42"
Papel Higiénico HIGIENOL Dúo Doble Hoja 50m x 4 Unidades,$ 325,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-higienol-duo-doble-hoja-50m-x-4-unidades.producto?261264,,42"
Papel Higiénico HIGIENOL Max 8 Rollos x 90 mts,$ 479,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-higienol-max-8-rollos-x-90-mts.producto?1551004,,42"
Detergente CIF BioActive Lima 500 Ml,$ 146,"https://www.tiendainglesa.com.uy/supermercado/detergente-cif-bioactive-lima-500-ml.producto?97529,,42"
Limpiador Líquido Multiuso FABULOSO Frescura Activa Antibacterial Limó...,$ 159,"https://www.tiendainglesa.com.uy/supermercado/limpiador-liquido-multiuso-fabuloso-frescura-activa-antibacterial-limon-refrescante-1.4-l.producto?413463,,42"
Guantes Amarillos TIENDA INGLESA N°7 1/2,$ 110,"https://www.tiendainglesa.com.uy/supermercado/guantes-amarillos-tienda-inglesa-n7-1-2.producto?1093465,,42"
Limpiador CIF Líquido Antigrasa Biodegradable Recarga 450 Ml,$ 147,"https://www.tiendainglesa.com.uy/supermercado/limpiador-cif-liquido-antigrasa-biodegradable-recarga-450-ml.producto?95363,,42"
Papel Higiénico HIGIENOL Sin Fin 4 Rollos x 60 mts,$ 137,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-higienol-sin-fin-4-rollos-x-60-mts.producto?1006681,,42"
Trapo Rejilla Blanca DURAMAS 40 x 40 cm,$ 57,"https://www.tiendainglesa.com.uy/supermercado/trapo-rejilla-blanca-duramas-40-x-40-cm.producto?6400,,42"
Suavizante COMFORT Clásico Doypack 900 ml,$ 165,"https://www.tiendainglesa.com.uy/supermercado/suavizante-comfort-clasico-doypack-900-ml.producto?6607,,42"
Jabón Líquido NEVEX para Diluir 500 ml,$ 423,"https://www.tiendainglesa.com.uy/supermercado/jabon-liquido-nevex-para-diluir-500-ml.producto?409952,,42"
Servilleta de Papel ELITE Cocktail Lisa x 50 Unidades,$ 59,"https://www.tiendainglesa.com.uy/supermercado/servilleta-de-papel-elite-cocktail-lisa-x-50-unidades.producto?5022,,42"
Antigrasa Líquido Cítrico TIENDA INGLESA 500 ml,$ 195,"https://www.tiendainglesa.com.uy/supermercado/antigrasa-liquido-citrico-tienda-inglesa-500-ml.producto?1096208,,42"
Detergente de Limón CRISTAL 1.25 L x 2 Unidades,$ 202,"https://www.tiendainglesa.com.uy/supermercado/detergente-de-limon-cristal-1.25-l-x-2-unidades.producto?378328,,42"
Limpiador CIF en Gel con Lavandina Ultra Blanco 500 Ml,$ 161,"https://www.tiendainglesa.com.uy/supermercado/limpiador-cif-en-gel-con-lavandina-ultra-blanco-500-ml.producto?2563,,42"
Suavizante VIVERE Clásico Sachet 3 L,$ 399,"https://www.tiendainglesa.com.uy/supermercado/suavizante-vivere-clasico-sachet-3-l.producto?337098,,42"
Papel de Cocina TOM 120 Paños Multiuso,$ 93,"https://www.tiendainglesa.com.uy/supermercado/papel-de-cocina-tom-120-panos-multiuso.producto?1094906,,42"
Suavizante CONEJO Fragancia Relax Doypack 5 L,$ 675,"https://www.tiendainglesa.com.uy/supermercado/suavizante-conejo-fragancia-relax-doypack-5-l.producto?262034,,42"
Toalla de Papel ELITE Maxwipe Reutilizable 1 Rollo x 50 Paños,$ 189,"https://www.tiendainglesa.com.uy/supermercado/toalla-de-papel-elite-maxwipe-reutilizable-1-rollo-x-50-panos.producto?382076,,42"
Suavizante CONEJO Fragancia Amor Doypack 5 L,$ 675,"https://www.tiendainglesa.com.uy/supermercado/suavizante-conejo-fragancia-amor-doypack-5-l.producto?238886,,42"
Papel Higiénico HIGIENOL Sin Fin 12 Rollos x 60 mts,$ 396,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-higienol-sin-fin-12-rollos-x-60-mts.producto?1007083,,42"
Bolsas para Residuos JÚPITER 70 x 100 cm Limón 10 Unidades,$ 230,"https://www.tiendainglesa.com.uy/supermercado/bolsas-para-residuos-jupiter-70-x-100-cm-limon-10-unidades.producto?98797,,42"
Papel Higiénico HIGIENOL Sin Fin 8 Rollos x 60 mts,$ 279,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-higienol-sin-fin-8-rollos-x-60-mts.producto?1007074,,42"
Suavizante QUERUBIN Premium Flores Silvestres Doypack 3 L,$ 392,"https://www.tiendainglesa.com.uy/supermercado/suavizante-querubin-premium-flores-silvestres-doypack-3-l.producto?98484,,42"
Lustramuebles BLEM Brillo y Protección Madera Lavanda en Aerosol 360cc,$ 345,"https://www.tiendainglesa.com.uy/supermercado/lustramuebles-blem-brillo-y-proteccion-madera-lavanda-en-aerosol-360cc.producto?3268,,42"
Paño de Piso DURAMAS Extra Grande Blanco 54 x 65 cm,$ 113,"https://www.tiendainglesa.com.uy/supermercado/pano-de-piso-duramas-extra-grande-blanco-54-x-65-cm.producto?3262,,42"
Lavavajillas PIATTI Ultra Recarga 1kg,$ 462,"https://www.tiendainglesa.com.uy/supermercado/lavavajillas-piatti-ultra-recarga-1kg.producto?2629,,42"
Papel Higiénico ELITE Ultra 4 Rollos x 30 mts,$ 181,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-elite-ultra-4-rollos-x-30-mts.producto?338492,,42"
Limpiador Antibacterial TIENDA INGLESA Lavanda 1.8 L,$ 145,"https://www.tiendainglesa.com.uy/supermercado/limpiador-antibacterial-tienda-inglesa-lavanda-1.8-l.producto?384202,,42"
Agua JANE Anti Splash 1 L,$ 113,"https://www.tiendainglesa.com.uy/supermercado/agua-jane-anti-splash-1-l.producto?1095688,,42"
Papel Higiénico HIGIENOL Max 4 Rollos x 90 mts,$ 278,"https://www.tiendainglesa.com.uy/supermercado/papel-higienico-higienol-max-4-rollos-x-90-mts.producto?1551003,,42"
Agua JANE 4 L,$ 345,"https://www.tiendainglesa.com.uy/supermercado/agua-jane-4-l.producto?6448,,42"
Tableta para Mosquitos JUPITER x 24 Unidades + 6,$ 128,"https://www.tiendainglesa.com.uy/supermercado/tableta-para-mosquitos-jupiter-x-24-unidades-mas-6.producto?98354,,42"
Limpiador Líquido Multiuso FABULOSO Frescura Activa Antibacterial Ener...,$ 114,"https://www.tiendainglesa.com.uy/supermercado/limpiador-liquido-multiuso-fabuloso-frescura-activa-antibacterial-energia-naranja-1-l.producto?381340,,42"
