Categoria,LVL 1,LVL 2
Ofertas,Bebidas,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Electro y Tecnología,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Almacén,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Frescos,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Hogar y Tiempo Libre,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Congelados,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Juguetería,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Ferretería,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Deportes y Fitness,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Papelería,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Textiles,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Perfumería,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Bebés,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
Ofertas,Limpieza,https://www.tiendainglesa.com.uy/supermercado/listas/ofertas/3716
