Item,Precio,Precio Oferta,URL
Cepillo de Dientes COLGATE Triple Acción 2 Unidades,$ 292,0,"https://www.tiendainglesa.com.uy/supermercado/cepillo-de-dientes-colgate-triple-accion-2-unidades.producto?1415,,42"
Postre de Chocolate ROYAL 200 gr,$ 111,$ 96,"https://www.tiendainglesa.com.uy/supermercado/postre-de-chocolate-royal-200-gr.producto?1433,,42"
Mermelada LOS NIETITOS sabor Higo Pote 250g,$ 77,0,"https://www.tiendainglesa.com.uy/supermercado/mermelada-los-nietitos-sabor-higo-pote-250g.producto?1472,,42"
Pastrami Pecho Ahumado CENTENARIO (Kg),$ 1.270,$ 889,"https://www.tiendainglesa.com.uy/supermercado/pastrami-pecho-ahumado-centenario-kg.producto?1528,,42"
Sopa en Juliana BALOCCO 400 gr,$ 89,$ 75,"https://www.tiendainglesa.com.uy/supermercado/sopa-en-juliana-balocco-400-gr.producto?1585,,42"
Pan Porteño TIENDA INGLESA 6 Unidades,$ 150,$ 119,"https://www.tiendainglesa.com.uy/supermercado/pan-porteno-tienda-inglesa-6-unidades.producto?1617,,42"
Mermelada LOS NIETITOS sabor Higo Pote 500g,$ 129,0,"https://www.tiendainglesa.com.uy/supermercado/mermelada-los-nietitos-sabor-higo-pote-500g.producto?1667,,42"
Sandwich de Pan Felipe Relleno con Jamón y Queso TIENDA INGLESA x 1 Un...,$ 225,0,"https://www.tiendainglesa.com.uy/supermercado/sandwich-de-pan-felipe-relleno-con-jamon-y-queso-tienda-inglesa-x-1-unidad.producto?1679,,42"
Mermelada LOS NIETITOS Sabor Frutilla Pote 250g,$ 87,0,"https://www.tiendainglesa.com.uy/supermercado/mermelada-los-nietitos-sabor-frutilla-pote-250g.producto?1693,,42"
Cerveza PILSEN Botella 960 ml,$ 167,0,"https://www.tiendainglesa.com.uy/supermercado/cerveza-pilsen-botella-960-ml.producto?1732,,42"
Cerveza PATRICIA Botella Retornable 960 ml,$ 179,0,"https://www.tiendainglesa.com.uy/supermercado/cerveza-patricia-botella-retornable-960-ml.producto?1733,,42"
Sopa Liviana en Juliana BALOCCO 400 gr,$ 89,$ 75,"https://www.tiendainglesa.com.uy/supermercado/sopa-liviana-en-juliana-balocco-400-gr.producto?1735,,42"
Arroz Blanco TIENDA INGLESA 1 Kg,$ 81,0,"https://www.tiendainglesa.com.uy/supermercado/arroz-blanco-tienda-inglesa-1-kg.producto?1775,,42"
Sándwich Olímpico TIENDA INGLESA de Pollo 2 Unidades,$ 159,0,"https://www.tiendainglesa.com.uy/supermercado/sandwich-olimpico-tienda-inglesa-de-pollo-2-unidades.producto?1857,,42"
Queso Crema Talarcrem TALAR 380 gr,$ 198,0,"https://www.tiendainglesa.com.uy/supermercado/queso-crema-talarcrem-talar-380-gr.producto?1865,,42"
Queso Untable Alpazul ALPA Pote 230 gr,$ 130,0,"https://www.tiendainglesa.com.uy/supermercado/queso-untable-alpazul-alpa-pote-230-gr.producto?1889,,42"
Agua Mineral Natural sin Gas NATIVA 1.65 L,$ 70,0,"https://www.tiendainglesa.com.uy/supermercado/agua-mineral-natural-sin-gas-nativa-1.65-l.producto?1951,,42"
Muslo Corto AVESUR (Kg),$ 429,$ 379,"https://www.tiendainglesa.com.uy/supermercado/muslo-corto-avesur-kg.producto?1974,,42"
Suprema de Pollo AVESUR (Kg),$ 529,$ 479,"https://www.tiendainglesa.com.uy/supermercado/suprema-de-pollo-avesur-kg.producto?1978,,42"
Queso Light Untable con Ciboulette TALAR pote 150g,$ 137,0,"https://www.tiendainglesa.com.uy/supermercado/queso-light-untable-con-ciboulette-talar-pote-150g.producto?1994,,42"
Sopa KNORR Quik de Vegetales 5 Sobres 65 gr,$ 147,0,"https://www.tiendainglesa.com.uy/supermercado/sopa-knorr-quik-de-vegetales-5-sobres-65-gr.producto?2062,,42"
